(0, 6):for 	 p.Purpose
(1411, 9):to 	 p.Purpose
(1412, 3):about 	 p.Approximator
(1412, 6):in 	 p.Locus
(1412, 10):before 	 p.Time
(1412, 23):my 	 p.Possessor
(1412, 25):into 	 p.Goal
(1412, 48):for 	 p.Explanation
(1412, 52):inside 	 p.Locus
(1413, 2):inside 	 p.Locus
(1413, 9):for 	 p.Duration
(1413, 15):before 	 p.Time
(1413, 22):to 	 p.Goal
(1414, 4):to 	 p.Purpose
(1414, 7):my 	 p.Possessor
(1415, 8):between 	 p.Goal
(1415, 15):since 	 p.Explanation
(1415, 20):for 	 p.Possession
(1416, 5):back 	 p.Direction
(1416, 6):in 	 p.Goal
(1416, 7):my 	 p.Possessor
(1417, 7):with 	 p.Possession
(1417, 8):my 	 p.Possessor
(1417, 10):to 	 p.Purpose
(1418, 6):back 	 p.Direction
(1419, 6):for 	 p.Duration
(1419, 10):before 	 p.Time
(1420, 12):since 	 p.Explanation
(1420, 16):about 	 p.Approximator
(1420, 20):than 	 p.ComparisonRef
(1421, 13):after 	 p.Time
(1421, 19):on 	 p.Locus
(1421, 20):my 	 p.Possessor
(1421, 23):my 	 p.Recipient
(1421, 26):from 	 p.StartTime
(1421, 28):in 	 p.Time
(1422, 29):for 	 p.Purpose
(1422, 30):my 	 p.Possessor
(1423, 6):to 	 p.Recipient
(1423, 9):at 	 p.Time
(1423, 18):of 	 p.QuantityItem
(1424, 5):my 	 p.Possessor
(1425, 7):within 	 p.Time
(1425, 14):in 	 p.Locus
(1426, 1):Over 	 p.Approximator
(1426, 9):before 	 p.Time
(1426, 13):my 	 p.Possessor
(1427, 4):after 	 p.Time
(1427, 18):my 	 p.Possessor
(1427, 27):in 	 p.Locus
(1428, 8):in 	 p.Time
(1429, 8):back 	 p.Direction
(1429, 21):to 	 p.Purpose
(1429, 23):for 	 p.Theme
(1430, 9):my 	 p.Possessor
(1430, 18):in 	 p.Locus
(1431, 10):to 	 p.Purpose
(1431, 12):about 	 p.Topic
(1431, 20):their 	 p.SocialRel
(1431, 22):' 	 p.Gestalt
(1431, 35):on 	 p.Time
(1431, 39):for 	 p.Duration
(1431, 43):with 	 p.Manner
(1432, 1):On 	 p.Time
(1432, 20):about 	 p.Topic
(1433, 7):for 	 p.Beneficiary
(1434, 3):at 	 p.Org
(1434, 18):of 	 p.Species
(1435, 14):about 	 p.Stimulus
(1435, 17):of 	 p.Gestalt
(1435, 22):on 	 p.Theme
(1435, 23):my 	 p.Possessor
(1436, 6):of 	 p.Species
(1436, 8):from 	 p.Source
(1436, 13):with 	 p.Characteristic
(1437, 25):about 	 p.Topic
(1438, 3):their 	 p.Agent
(1439, 7):on 	 p.Topic
(1440, 9):at 	 p.Stimulus
(1440, 10):their 	 p.Gestalt
(1440, 12):of 	 p.Gestalt
(1440, 14):for 	 p.Purpose
(1440, 15):their 	 p.Agent
(1441, 8):like 	 p.PartPortion
(1441, 10):on 	 p.Goal
(1441, 28):of 	 p.Topic
(1441, 31):of 	 p.Gestalt
(1442, 7):my 	 p.Possessor
(1442, 9):on 	 p.Theme
(1442, 12):for 	 p.Beneficiary
(1442, 29):to 	 p.Goal
(1442, 32):to 	 p.Goal
(1443, 5):with 	 p.Instrument
(1443, 13):than 	 p.ComparisonRef
(1444, 6):for 	 p.Beneficiary
(1444, 12):for 	 p.Beneficiary
(1445, 10):your 	 p.Possessor
(1446, 1):Their 	 p.Agent
(1447, 5):with 	 p.Stimulus
(1447, 6):their 	 p.Agent
(1447, 9):their 	 p.Originator
(1448, 11):their 	 p.Originator
(1449, 6):over 	 p.ComparisonRef
(1449, 10):with 	 p.OrgMember
(1450, 6):to 	 p.Goal
(1450, 20):after 	 p.Time
(1451, 3):my 	 p.Possessor
(1452, 7):within 	 p.Time
(1452, 13):to 	 p.Goal
(1452, 14):my 	 p.Possessor
(1452, 20):my 	 p.Possessor
(1452, 21):our 	 p.Possessor
(1452, 34):for 	 p.Cost
(1452, 38):per 	 p.SetIteration
(1453, 2):ON 	 p.Locus
(1454, 4):BEFORE 	 p.Time
(1455, 2):IN 	 p.Locus
(1456, 1):THEIR 	 p.Originator
(1457, 8):FOR 	 p.Cost
(1458, 7):with 	 p.Topic
(1458, 9):my 	 p.Possessor
(1458, 17):for 	 p.Duration
(1459, 9):about 	 p.Stimulus
(1459, 16):there 	 p.Possessor
(1460, 24):back 	 p.Direction
(1460, 25):in 	 p.Manner
(1461, 3):at 	 p.Stimulus
(1461, 5):of 	 p.QuantityItem
(1462, 4):with 	 p.Characteristic
(1463, 14):like 	 p.ComparisonRef
(1464, 5):to 	 p.Goal
(1464, 7):at 	 p.Org
(1464, 13):of 	 p.Whole
(1464, 19):in 	 p.Locus
(1465, 3):your 	 p.Possessor
(1465, 6):on 	 p.Theme
(1466, 4):to 	 p.Purpose
(1466, 8):to 	 p.Goal
(1466, 11):to 	 p.Purpose
(1467, 10):about 	 p.Topic
(1468, 6):to 	 p.Purpose
(1468, 18):about 	 p.Topic
(1469, 8):my 	 p.Possessor
(1470, 6):of 	 p.Gestalt
(1471, 6):with 	 p.Agent
(1472, 8):for 	 p.Theme
(1472, 10):'s 	 p.Time
(1473, 7):as 	 p.ComparisonRef
(1474, 3):until 	 p.EndTime
(1475, 4):in 	 p.Whole
(1475, 5):our 	 p.SocialRel
(1475, 14):in 	 p.Locus
(1475, 19):for 	 p.Theme
(1476, 8):except 	 p.PartPortion
(1476, 13):with 	 p.Stimulus
(1477, 3):our 	 p.Agent
(1477, 6):to 	 p.Goal
(1477, 7):your 	 p.OrgMember
(1478, 1):In 	 p.Locus
(1478, 3):'s 	 p.Time
(1478, 11):for 	 p.Theme
(1479, 1):As 	 p.Identity
(1480, 11):on 	 p.Locus
(1481, 4):in 	 p.Locus
(1481, 23):of 	 p.Topic
(1482, 5):with 	 p.Stimulus
(1482, 13):with 	 p.Stimulus
(1482, 25):of 	 p.Gestalt
(1482, 28):for 	 p.Cost
(1483, 4):in 	 p.Locus
(1483, 22):its 	 p.SocialRel
(1483, 32):from 	 p.Source
(1484, 9):as 	 p.Explanation
(1484, 12):without 	 p.Ancillary
(1484, 26):to 	 p.Stimulus
(1484, 35):from 	 p.StartTime
(1484, 38):to 	 p.EndTime
(1484, 41):during 	 p.Time
(1484, 42):my 	 p.Agent
(1484, 55):during 	 p.Time
(1484, 59):my 	 p.Agent
(1484, 68):by 	 p.Means
(1484, 70):for 	 p.Purpose
(1484, 76):to 	 p.Goal
(1485, 11):about 	 p.Topic
(1485, 17):over 	 p.Direction
(1485, 18):their 	 p.Gestalt
(1485, 20):on 	 p.Goal
(1485, 34):for 	 p.Theme
(1486, 12):for 	 p.Theme
(1487, 34):for 	 p.Beneficiary
(1488, 7):of 	 p.Experiencer
(1488, 8):our 	 p.OrgMember
(1489, 7):with 	 p.PartPortion
(1489, 18):of 	 p.Identity
(1490, 8):in 	 p.Locus
(1490, 9):your 	 p.Possessor
(1490, 13):for 	 p.Beneficiary
(1490, 15):like 	 p.PartPortion
(1490, 23):of 	 p.Whole
(1490, 30):to 	 p.Purpose
(1491, 6):your 	 p.Possessor
(1491, 8):on 	 p.Goal
(1491, 17):to 	 p.Goal
(1491, 21):of 	 p.Whole
(1492, 3):of 	 p.Species
(1493, 10):around 	 p.Approximator
(1494, 1):My 	 p.SocialRel
(1494, 12):in 	 p.Locus
(1494, 13):our 	 p.Possessor
(1494, 15):for 	 p.Duration
(1495, 5):from 	 p.Org
(1495, 14):for 	 p.Experiencer
(1496, 19):about 	 p.Stimulus
(1496, 20):his 	 p.OrgMember
(1497, 4):his 	 p.Agent
(1498, 3):at 	 p.Cost
(1499, 6):at 	 p.Cost
(1499, 12):my 	 p.Agent
(1500, 7):with 	 p.SocialRel
(1500, 10):my 	 p.Agent
(1500, 24):of 	 p.Topic
(1500, 28):of 	 p.Topic
(1500, 29):my 	 p.OrgMember
(1501, 5):to 	 p.Recipient
(1502, 2):with 	 p.SocialRel
(1502, 6):my 	 p.Experiencer
(1502, 10):with 	 p.Agent
(1503, 8):my 	 p.Agent
(1503, 10):to 	 p.Purpose
(1503, 19):for 	 p.Theme
(1504, 5):for 	 p.Theme
(1504, 11):my 	 p.Experiencer
(1504, 18):for 	 p.Cost
(1504, 24):to 	 p.Theme
(1505, 23):to 	 p.Purpose
(1505, 46):to 	 p.Purpose
(1506, 21):despite 	 p.Circumstance
(1506, 37):my 	 p.Experiencer
(1507, 4):after 	 p.Time
(1507, 15):my 	 p.Originator
(1507, 21):with 	 p.Possession
(1507, 27):at 	 p.Time
(1507, 30):of 	 p.Whole
(1508, 13):of 	 p.Cost
(1508, 20):on 	 p.Time
(1508, 32):to 	 p.Topic
(1509, 4):of 	 p.Originator
(1509, 5):my 	 p.SocialRel
(1510, 4):in 	 p.Locus
(1511, 5):from 	 p.Originator
(1512, 7):about 	 p.Topic
(1512, 10):of 	 p.Gestalt
(1512, 15):at 	 p.Stimulus
(1513, 7):from 	 p.PartPortion
(1513, 11):to 	 p.PartPortion
(1514, 5):my 	 p.Gestalt
(1514, 10):as 	 p.ComparisonRef
(1514, 17):my 	 p.Gestalt
(1515, 7):with 	 p.Stimulus
(1515, 12):my 	 p.Agent
(1516, 6):on 	 p.Topic
(1516, 15):of 	 p.Stimulus
(1516, 27):at 	 p.Locus
(1517, 10):in 	 p.Characteristic
(1518, 11):in 	 p.Locus
(1519, 1):After 	 p.Time
(1519, 2):my 	 p.Possessor
(1519, 13):of 	 p.Characteristic
(1520, 9):for 	 p.Purpose
(1521, 11):their 	 p.OrgMember
(1521, 21):from 	 p.Source
(1522, 9):for 	 p.Theme
(1522, 15):of 	 p.QuantityItem
(1522, 17):around 	 p.Locus
(1523, 6):before 	 p.Time
(1523, 14):to 	 p.Goal
(1523, 15):our 	 p.Experiencer
(1524, 4):over 	 p.Approximator
(1524, 7):to 	 p.Purpose
(1524, 10):to 	 p.Goal
(1524, 11):our 	 p.Possessor
(1524, 21):to 	 p.Purpose
(1524, 23):our 	 p.Originator
(1524, 30):till 	 p.EndTime
(1524, 31):our 	 p.Possessor
(1524, 34):on 	 p.Goal
(1524, 35):our 	 p.Possessor
(1525, 3):for 	 p.ComparisonRef
(1525, 14):for 	 p.Explanation
(1525, 25):to 	 p.Purpose
(1525, 33):about 	 p.Topic
(1525, 40):to 	 p.Purpose
(1525, 42):on 	 p.Theme
(1525, 49):our 	 p.Possessor
(1525, 53):round 	 p.Locus
(1525, 54):to 	 p.Purpose
(1525, 64):s 	 p.Experiencer
(1526, 13):of 	 p.Whole
(1527, 14):to 	 p.Purpose
(1528, 4):back 	 p.Direction
(1528, 5):as 	 p.Explanation
(1528, 10):of 	 p.QuantityItem
(1529, 8):my 	 p.OrgMember
(1529, 11):by 	 p.Means
(1530, 4):with 	 p.Org
(1530, 14):to 	 p.Recipient
(1531, 3):my 	 p.SocialRel
(1531, 5):'s 	 p.Gestalt
(1531, 9):from 	 p.Originator
(1532, 4):by 	 p.Originator
(1532, 11):our 	 p.Possessor
(1532, 13):for 	 p.Characteristic
(1533, 6):before 	 p.Time
(1534, 10):in 	 p.Locus
(1535, 8):to 	 p.Recipient
(1536, 15):with 	 p.Characteristic
(1536, 21):on 	 p.Locus
(1537, 4):to 	 p.Goal
(1537, 14):of 	 p.Theme
(1538, 10):of 	 p.QuantityItem
(1539, 10):in 	 p.Locus
(1540, 1):My 	 p.Possessor
(1541, 3):in 	 p.Locus
(1542, 7):for 	 p.ComparisonRef
(1543, 11):in 	 p.Locus
(1544, 5):of 	 p.QuantityItem
(1545, 10):for 	 p.Purpose
(1545, 15):for 	 p.Purpose
(1545, 26):their 	 p.Gestalt
(1546, 5):of 	 p.Species
(1546, 8):for 	 p.Purpose
(1547, 11):at 	 p.Cost
(1548, 8):of 	 p.Characteristic
(1549, 11):my 	 p.Possessor
(1549, 17):of 	 p.QuantityItem
(1549, 18):his 	 p.SocialRel
(1550, 5):in 	 p.Locus
(1551, 2):near 	 p.Locus
(1552, 5):of 	 p.Identity
(1553, 9):with 	 p.Manner
(1553, 12):in 	 p.Locus
(1553, 20):off 	 p.Locus
(1554, 4):without 	 p.Manner
(1555, 4):to 	 p.Purpose
(1555, 6):for 	 p.Purpose
(1555, 8):after 	 p.Time
(1555, 11):of 	 p.QuantityItem
(1556, 3):my 	 p.Possessor
(1556, 6):in 	 p.Duration
(1557, 7):with 	 p.Stimulus
(1557, 10):my 	 p.Possessor
(1558, 13):in 	 p.Locus
(1559, 6):in 	 p.Locus
(1560, 11):by 	 p.Force
(1560, 23):in 	 p.Locus
(1560, 24):my 	 p.OrgMember
(1561, 15):of 	 p.Topic
(1561, 27):to 	 p.Purpose
(1562, 6):to 	 p.Purpose
(1562, 18):of 	 p.QuantityItem
(1563, 4):at 	 p.Locus
(1563, 7):with 	 p.Ancillary
(1563, 10):of 	 p.QuantityItem
(1564, 3):into 	 p.Goal
(1564, 18):with 	 p.Possession
(1564, 26):in 	 p.Path
(1564, 29):at 	 p.Time
(1565, 5):into 	 p.Goal
(1565, 9):on 	 p.Locus
(1565, 13):with 	 p.Ancillary
(1566, 5):in 	 p.Locus
(1566, 6):our 	 p.Possessor
(1566, 10):for 	 p.Beneficiary
(1566, 16):for 	 p.Purpose
(1567, 1):In 	 p.Locus
(1568, 9):in 	 p.Locus
(1568, 10):our 	 p.Possessor
(1569, 4):to 	 p.Goal
(1569, 5):our 	 p.Possessor
(1570, 2):in 	 p.Locus
(1571, 7):about 	 p.Topic
(1571, 12):in 	 p.Locus
(1571, 15):outside 	 p.Locus
(1571, 16):our 	 p.Possessor
(1571, 20):at 	 p.Time
(1571, 33):to 	 p.Purpose
(1572, 26):to 	 p.ComparisonRef
(1573, 8):like 	 p.Manner
(1574, 4):to 	 p.Goal
(1574, 14):of 	 p.Stuff
(1575, 6):of 	 p.Stuff
(1575, 11):to 	 p.Purpose
(1575, 14):since 	 p.Explanation
(1576, 16):my 	 p.Possessor
(1577, 3):at 	 p.Locus
(1578, 20):in 	 p.Goal
(1579, 10):for 	 p.Possession
(1580, 19):on 	 p.Circumstance
(1581, 12):to 	 p.Purpose
(1581, 15):since 	 p.Explanation
(1582, 1):With 	 p.Manner
(1582, 4):on 	 p.Gestalt
(1582, 5):her 	 p.Whole
(1583, 8):our 	 p.Agent
(1583, 10):to 	 p.ComparisonRef
(1584, 1):My 	 p.SocialRel
(1584, 8):for 	 p.Frequency
(1585, 15):for 	 p.Theme
(1586, 13):for 	 p.Beneficiary
(1586, 14):my 	 p.SocialRel
(1587, 3):at 	 p.Gestalt
(1588, 5):to 	 p.Recipient
(1589, 3):to 	 p.Purpose
(1589, 5):your 	 p.Possessor
(1590, 9):from 	 p.Originator
(1591, 9):through 	 p.Org
(1592, 20):to 	 p.Stimulus
(1592, 21):our 	 p.Experiencer
(1593, 4):for 	 p.Explanation
(1594, 6):to 	 p.Purpose
(1594, 8):my 	 p.Possessor
(1594, 19):of 	 p.Species
(1594, 23):like 	 p.Manner
(1594, 26):to 	 p.Purpose
(1595, 5):ago 	 p.Time
(1596, 12):in 	 p.Locus
(1596, 14):since 	 p.StartTime
(1597, 7):to 	 p.Goal
(1597, 9):before 	 p.Time
(1597, 12):during 	 p.Time
(1598, 10):of 	 p.Characteristic
(1599, 4):my 	 p.Beneficiary
(1599, 12):since 	 p.StartTime
(1599, 17):together 	 p.Ancillary
(1600, 9):for 	 p.Beneficiary
(1601, 2):my 	 p.Possessor
(1602, 4):from 	 p.Theme
(1603, 5):of 	 p.Direction
(1603, 6):my 	 p.Possessor
(1604, 5):to 	 p.Recipient
(1605, 11):from 	 p.Originator
(1606, 5):back 	 p.Direction
(1607, 9):on 	 p.Locus
(1608, 9):to 	 p.Stimulus
(1608, 12):of 	 p.Species
(1609, 8):from 	 p.Originator
(1610, 6):back 	 p.Direction
(1611, 18):to 	 p.Theme
(1612, 10):to 	 p.Theme
(1613, 3):away 	 p.Direction
(1614, 2):my 	 p.Originator
(1615, 2):AWAY 	 p.Locus
(1615, 3):AS 	 p.Extent
(1615, 5):AS 	 p.ComparisonRef
(1616, 2):of 	 p.Whole
(1617, 4):its 	 p.Gestalt
(1617, 13):to 	 p.Purpose
(1617, 15):from 	 p.Originator
(1618, 7):like 	 p.Manner
(1618, 17):on 	 p.Time
(1618, 20):of 	 p.QuantityItem
(1618, 26):about 	 p.Topic
(1618, 27):my 	 p.Originator
(1619, 6):up 	 p.Locus
(1619, 23):my 	 p.Possessor
(1619, 38):in 	 p.Manner
(1619, 41):of 	 p.Species
(1620, 6):before 	 p.Time
(1620, 8):my 	 p.Possessor
(1621, 10):by 	 p.Agent
(1621, 20):with 	 p.Stimulus
(1621, 21):there 	 p.Agent
(1621, 28):at 	 p.Locus
(1622, 16):without 	 p.Circumstance
(1623, 7):at 	 p.Locus
(1623, 12):in 	 p.Locus
(1623, 17):in 	 p.Time
(1623, 23):to 	 p.Goal
(1624, 6):in 	 p.Locus
(1625, 11):in 	 p.Locus
(1625, 18):at 	 p.Locus
(1626, 7):at 	 p.Locus
(1626, 9):in 	 p.Locus
(1627, 25):at 	 p.Locus
(1627, 28):in 	 p.Locus
(1627, 37):in 	 p.Locus
(1628, 8):at 	 p.Locus
(1628, 13):in 	 p.Locus
(1629, 19):in 	 p.Locus
(1630, 3):in 	 p.Locus
(1630, 4):your 	 p.Gestalt
(1631, 7):at 	 p.Locus
(1632, 10):in 	 p.Locus
(1633, 5):to 	 p.Recipient
(1633, 16):your 	 p.Gestalt
(1633, 25):to 	 p.Goal
(1633, 33):your 	 p.Gestalt
(1634, 13):ON 	 p.Locus
(1635, 4):over 	 p.Locus
(1635, 5):by 	 p.Locus
(1635, 17):of 	 p.Locus
(1636, 3):at 	 p.Locus
(1637, 5):of 	 p.Locus
(1638, 8):over 	 p.Locus
(1638, 9):past 	 p.Locus
(1639, 6):of 	 p.Locus
(1640, 15):of 	 p.Locus
(1640, 20):of 	 p.Locus
(1641, 17):past 	 p.Path
(1642, 3):after 	 p.Time
(1642, 18):to 	 p.Goal
(1643, 5):to 	 p.ComparisonRef
(1643, 19):by 	 p.Agent
(1644, 7):on 	 p.Topic
(1645, 7):since 	 p.Time
(1645, 26):as 	 p.Characteristic
(1646, 3):in 	 p.Locus
(1647, 9):his 	 p.SocialRel
(1647, 23):in 	 p.Locus
(1647, 27):of 	 p.Whole
(1648, 2):their 	 p.Agent
(1648, 11):about 	 p.Topic
(1648, 12):by 	 p.Means
(1648, 14):on 	 p.Goal
(1648, 15):their 	 p.Possessor
(1649, 6):for 	 p.Cost
(1649, 12):in 	 p.Locus
(1649, 14):of 	 p.QuantityItem
(1650, 1):My 	 p.Experiencer
(1651, 3):to 	 p.Goal
(1651, 6):to 	 p.Purpose
(1651, 8):to 	 p.Org
(1651, 12):my 	 p.SocialRel
(1651, 19):though 	 p.Org
(1652, 9):my 	 p.Experiencer
(1652, 12):to 	 p.Purpose
(1652, 15):for 	 p.Recipient
(1653, 6):in 	 p.Locus
(1654, 3):on 	 p.Time
(1654, 6):at 	 p.Time
(1654, 9):of 	 p.Topic
(1655, 6):his 	 p.SocialRel
(1655, 9):at 	 p.Time
(1655, 17):on 	 p.Time
(1656, 6):of 	 p.SocialRel
(1656, 9):for 	 p.Duration
(1656, 16):of 	 p.QuantityItem
(1656, 18):on 	 p.Possession
(1657, 4):of 	 p.QuantityItem
(1657, 7):in 	 p.Locus
(1658, 4):to 	 p.Org
(1659, 5):on 	 p.Time
(1660, 5):of 	 p.QuantityItem
(1661, 9):than 	 p.ComparisonRef
(1662, 7):since 	 p.Time
(1663, 2):my 	 p.SocialRel
(1663, 18):of 	 p.QuantityItem
(1664, 10):of 	 p.Whole
(1664, 11):my 	 p.Experiencer
(1664, 14):to 	 p.Purpose
(1664, 16):in 	 p.Locus
(1664, 18):of 	 p.QuantityItem
(1665, 5):@ 	 p.Locus
(1666, 8):with 	 p.Stimulus
(1666, 11):of 	 p.Gestalt
(1666, 28):thru 	 p.Locus
(1667, 5):of 	 p.Characteristic
(1668, 15):with 	 p.Ancillary
(1669, 1):After 	 p.Time
(1669, 2):my 	 p.Possessor
(1669, 9):for 	 p.Theme
(1669, 12):of 	 p.QuantityItem
(1669, 13):there 	 p.Originator
(1669, 25):with 	 p.Stimulus
(1669, 37):from 	 p.Originator
(1670, 4):in 	 p.Locus
(1671, 6):abou 	 p.Topic
(1672, 3):with 	 p.Possession
(1672, 6):of 	 p.QuantityItem
(1673, 4):My 	 p.Possessor
(1674, 3):to 	 p.Goal
(1674, 4):my 	 p.Possessor
(1674, 12):on 	 p.Theme
(1675, 15):with 	 p.Theme
(1676, 8):of 	 p.QuantityItem
(1676, 9):my 	 p.Originator
(1676, 11):with 	 p.Manner
(1677, 5):my 	 p.Possessor
(1678, 6):of 	 p.Whole
(1678, 16):of 	 p.Identity
(1679, 7):on 	 p.Locus
(1679, 10):than 	 p.ComparisonRef
(1680, 6):in 	 p.Locus
(1680, 8):of 	 p.QuantityItem
(1681, 4):like 	 p.ComparisonRef
(1682, 7):to 	 p.Recipient
(1683, 7):for 	 p.Org
(1684, 10):on 	 p.Time
(1684, 25):than 	 p.ComparisonRef
(1684, 27):of 	 p.QuantityItem
(1684, 34):in 	 p.Locus
(1685, 16):'s 	 p.Duration
(1685, 18):of 	 p.QuantityItem
(1685, 21):in 	 p.Direction
(1685, 24):back 	 p.Direction
(1685, 30):in 	 p.Locus
(1685, 40):in 	 p.Direction
(1685, 42):in 	 p.Locus
(1686, 10):my 	 p.Agent
(1686, 12):of 	 p.Theme
(1686, 16):in 	 p.Time
(1687, 8):my 	 p.Gestalt
(1687, 10):by 	 p.Time
(1687, 11):my 	 p.Agent
(1687, 20):on 	 p.Circumstance
(1687, 21):my 	 p.Agent
(1688, 2):my 	 p.Originator
(1688, 4):to 	 p.Topic
(1688, 12):your 	 p.Possessor
(1688, 22):At 	 p.Locus
(1688, 26):at 	 p.Locus
(1688, 40):At 	 p.Locus
(1689, 7):at 	 p.Locus
(1690, 5):than 	 p.ComparisonRef
(1691, 7):to 	 p.Recipient
(1692, 2):of 	 p.QuantityItem
(1693, 10):to 	 p.Stimulus
(1693, 17):before 	 p.Time
(1694, 14):about 	 p.Topic
(1695, 5):with 	 p.Characteristic
(1696, 7):on 	 p.Locus
(1696, 16):on 	 p.Goal
(1697, 8):in 	 p.Locus
(1697, 13):about 	 p.Topic
(1698, 9):with 	 p.Theme
(1698, 16):to 	 p.Purpose
(1699, 2):upon 	 p.Time
(1699, 3):our 	 p.Agent
(1700, 5):her 	 p.Whole
(1700, 7):around 	 p.Path
(1700, 10):from 	 p.Locus
(1700, 13):of 	 p.Whole
(1700, 26):until 	 p.EndTime
(1701, 3):after 	 p.Time
(1701, 15):from 	 p.Originator
(1701, 18):with 	 p.Characteristic
(1701, 20):to 	 p.Goal
(1701, 21):our 	 p.Possessor
(1702, 2):in 	 p.Locus
(1702, 14):from 	 p.Source
(1702, 17):in 	 p.Locus
(1702, 18):your 	 p.Possessor
(1702, 24):by 	 p.Means
(1702, 28):in 	 p.Locus
(1703, 9):from 	 p.Source
(1703, 10):your 	 p.Possessor
(1703, 12):home 	 p.Goal
(1703, 13):with 	 p.Possessor
(1703, 22):per 	 p.SetIteration
(1704, 5):in 	 p.Locus
(1704, 8):to 	 p.Purpose
(1705, 10):home 	 p.Goal
(1705, 18):per 	 p.SetIteration
(1706, 11):after 	 p.Time
(1706, 20):for 	 p.Theme
(1706, 27):for 	 p.Theme
(1706, 33):after 	 p.Time
(1707, 8):to 	 p.EndTime
(1708, 2):By 	 p.Agent
(1709, 6):in 	 p.Locus
(1710, 13):for 	 p.Purpose
(1711, 6):in 	 p.Goal
(1711, 11):for 	 p.Theme
(1711, 14):of 	 p.QuantityItem
(1712, 4):except 	 p.PartPortion
(1713, 6):with 	 p.PartPortion
(1714, 6):off 	 p.Locus
(1715, 4):OFF 	 p.Locus
(1716, 4):back 	 p.Direction
(1716, 14):of 	 p.Cost
(1716, 23):their 	 p.Gestalt
(1717, 4):for 	 p.Duration
(1718, 8):to 	 p.Recipient
(1719, 5):our 	 p.Possessor
(1719, 16):at 	 p.Locus
(1719, 21):after 	 p.Time
(1720, 7):at 	 p.Time
(1720, 14):down 	 p.Locus
(1720, 16):until 	 p.EndTime
(1720, 29):in 	 p.Locus
(1720, 33):of 	 p.Whole
(1721, 18):back 	 p.Direction
(1721, 24):for 	 p.Possession
(1721, 33):our 	 p.Possessor
(1721, 35):back 	 p.Direction
(1721, 52):of 	 p.Topic
(1722, 10):to 	 p.Recipient
(1722, 15):for 	 p.Beneficiary
(1722, 17):of 	 p.QuantityItem
(1722, 36):about 	 p.Stimulus
(1723, 1):As 	 p.Identity
(1724, 13):in 	 p.Stimulus
(1724, 15):their 	 p.Agent
(1725, 4):my 	 p.SocialRel
(1725, 21):by 	 p.Agent
(1725, 30):before 	 p.Time
(1725, 32):after 	 p.Time
(1725, 37):their 	 p.Agent
(1726, 14):of 	 p.Gestalt
(1726, 15):their 	 p.Agent
(1727, 1):After 	 p.Explanation
(1727, 6):to 	 p.Recipient
(1727, 8):on 	 p.Circumstance
(1727, 9):my 	 p.Agent
(1728, 5):with 	 p.Characteristic
(1729, 9):to 	 p.Beneficiary
(1730, 9):of 	 p.QuantityItem
(1730, 14):of 	 p.QuantityItem
(1730, 20):in 	 p.Locus
(1731, 7):before 	 p.Time
(1731, 10):my 	 p.Possessor
(1732, 14):than 	 p.ComparisonRef
(1732, 20):my 	 p.Possessor
(1732, 22):back 	 p.Direction
(1733, 8):to 	 p.Recipient
(1733, 10):about 	 p.Topic
(1733, 11):my 	 p.Possessor
(1733, 19):to 	 p.Goal
(1734, 1):My 	 p.SocialRel
(1734, 6):in 	 p.Direction
(1735, 3):in 	 p.Locus
(1736, 1):Our 	 p.SocialRel
(1737, 1):My 	 p.SocialRel
(1737, 15):of 	 p.Topic
(1738, 8):for 	 p.Experiencer
(1738, 10):of 	 p.QuantityItem
(1739, 3):to 	 p.Purpose
(1739, 5):on 	 p.Time
(1740, 8):of 	 p.Species
(1740, 23):upstairs 	 p.Locus
(1740, 28):to 	 p.Goal
(1740, 31):downstairs 	 p.Locus
(1741, 3):on 	 p.Theme
(1741, 12):on 	 p.Topic
(1742, 11):at 	 p.Locus
(1743, 14):to 	 p.Purpose
(1744, 1):My 	 p.Possessor
(1744, 8):my 	 p.Possessor
(1744, 10):to 	 p.Goal
(1745, 12):in 	 p.Time
(1746, 9):home 	 p.Goal
(1746, 15):my 	 p.Possessor
(1747, 10):on 	 p.Topic
(1747, 13):of 	 p.Gestalt
(1747, 14):my 	 p.Possessor
(1748, 6):my 	 p.Possessor
(1748, 8):back 	 p.Direction
(1748, 9):for 	 p.Purpose
(1749, 4):at 	 p.Goal
(1749, 7):on 	 p.Time
(1749, 16):by 	 p.Agent
(1749, 24):in 	 p.Manner
(1750, 3):to 	 p.Recipient
(1750, 13):to 	 p.Goal
(1751, 6):of 	 p.QuantityItem
(1752, 8):without 	 p.Manner
(1752, 14):of 	 p.Species
(1753, 9):in 	 p.Locus
(1754, 11):of 	 p.QuantityItem
(1755, 20):in 	 p.Duration
(1756, 12):before 	 p.Time
(1756, 21):for 	 p.Theme
(1756, 24):your 	 p.SocialRel
(1756, 28):at 	 p.Locus
(1757, 6):my 	 p.Possessor
(1758, 4):their 	 p.Possessor
(1759, 17):to 	 p.Purpose
(1759, 19):your 	 p.Possessor
(1760, 4):to 	 p.Goal
(1761, 2):for 	 p.Beneficiary
(1762, 7):at 	 p.Locus
(1763, 3):our 	 p.SocialRel
(1764, 9):with 	 p.Beneficiary
(1765, 1):Among 	 p.Whole
(1766, 6):of 	 p.QuantityItem
(1767, 15):before 	 p.Time
(1767, 18):after 	 p.Explanation
(1767, 24):to 	 p.Recipient
(1767, 25):by 	 p.Originator
